Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Massachusetts,2022,7,2/19/2022,1306,1196,,258,28,25,15,46,27,39,,262,42,127,84
Massachusetts,2022,8,2/26/2022,1195,1087,17,234,32,27,17,44,18,26,19,228,43,89,64
Massachusetts,2022,9,3/5/2022,1153,1048,16,245,30,28,,39,15,24,24,228,48,49,29
Massachusetts,2022,10,3/12/2022,1196,1094,13,249,36,23,20,38,21,28,15,247,48,41,23
Massachusetts,2022,11,3/19/2022,1112,1017,14,229,30,28,21,48,23,22,16,218,41,37,22
Massachusetts,2022,12,3/26/2022,1158,1056,16,216,34,21,18,38,28,28,15,243,44,30,21
Massachusetts,2022,13,4/2/2022,1159,1062,23,230,23,33,21,44,26,28,19,239,46,33,16
Massachusetts,2022,14,4/9/2022,1070,960,21,208,24,29,23,36,15,22,25,213,37,25,18
Massachusetts,2022,15,4/16/2022,1152,1044,14,218,18,30,20,44,22,27,20,239,45,31,18
Massachusetts,2022,16,4/23/2022,1073,972,11,230,38,24,12,40,26,31,13,217,47,32,18
Massachusetts,2022,17,4/30/2022,1156,1055,25,251,29,37,22,36,16,20,15,246,36,26,17
Massachusetts,2022,18,5/7/2022,1184,1072,14,243,26,23,18,48,19,33,21,233,34,38,27
Massachusetts,2022,19,5/14/2022,1213,1106,12,229,30,29,21,59,21,30,19,244,51,60,47
Massachusetts,2022,20,5/21/2022,1169,1074,16,248,24,26,14,62,16,21,20,228,34,73,58
Massachusetts,2022,21,5/28/2022,1141,1042,13,264,32,24,21,39,13,23,23,212,42,50,34
Massachusetts,2022,22,6/4/2022,1203,1093,25,264,30,20,18,59,17,24,39,218,40,50,31
Massachusetts,2022,23,6/11/2022,1138,1046,19,241,21,34,,41,19,15,48,219,42,49,33
Massachusetts,2022,24,6/18/2022,1092,984,18,217,21,29,16,44,16,35,37,210,37,49,35
Massachusetts,2022,25,6/25/2022,1083,1014,17,217,24,21,19,50,24,32,58,211,31,32,19
Massachusetts,2022,26,7/2/2022,1204,1131,24,252,24,27,17,63,19,31,76,217,38,43,27
Massachusetts,2022,27,7/9/2022,1152,1105,17,240,24,30,13,48,30,26,114,206,48,38,20
Massachusetts,2022,28,7/16/2022,1130,1086,14,263,31,26,,38,15,19,117,198,41,37,32
Massachusetts,2022,29,7/23/2022,1154,1112,14,251,24,30,12,40,18,29,117,206,40,42,29
Massachusetts,2022,30,7/30/2022,1108,1067,16,221,25,30,17,42,19,20,149,202,31,32,20
Massachusetts,2022,31,8/6/2022,1209,1179,27,272,40,27,15,43,21,26,132,199,36,51,30
Massachusetts,2022,32,8/13/2022,1140,1101,12,237,34,32,14,34,28,33,130,199,41,50,38
Massachusetts,2022,33,8/20/2022,1113,1073,21,250,21,23,18,32,18,26,121,201,49,48,34
Massachusetts,2022,34,8/27/2022,1131,1103,22,253,30,33,,35,,25,141,193,43,33,23
Massachusetts,2022,35,9/3/2022,1113,1083,18,252,21,27,14,37,19,15,134,193,37,54,28
Massachusetts,2022,36,9/10/2022,1081,1048,19,238,20,21,20,38,19,22,123,163,43,35,24
Massachusetts,2022,37,9/17/2022,1005,989,11,208,17,25,17,34,17,27,125,199,42,37,22
Massachusetts,2022,38,9/24/2022,920,920,22,208,28,39,,38,12,25,92,187,35,26,14
Michigan,2020,1,1/4/2020,2015,1863,34,401,63,80,42,133,21,39,10,513,114,0,0
Michigan,2020,2,1/11/2020,2065,1924,23,414,62,85,38,161,37,40,,505,114,0,0
Michigan,2020,3,1/18/2020,1936,1797,24,381,49,92,42,123,22,40,12,493,127,0,0
Michigan,2020,4,1/25/2020,2012,1881,22,451,78,83,36,120,28,35,11,497,131,0,0
Michigan,2020,5,2/1/2020,2004,1863,30,403,69,94,46,142,25,48,,514,82,0,0
Michigan,2020,6,2/8/2020,1940,1785,23,368,57,78,54,119,31,40,14,504,118,0,0
Michigan,2020,7,2/15/2020,2014,1866,30,425,65,92,55,110,33,46,12,531,111,,
Michigan,2020,8,2/22/2020,2056,1896,25,404,66,84,61,129,28,41,10,542,127,0,0
Michigan,2020,9,2/29/2020,1973,1806,28,383,54,100,50,125,16,38,13,522,116,,
Michigan,2020,10,3/7/2020,1988,1821,27,397,53,77,53,135,30,47,,499,106,0,0
Michigan,2020,11,3/14/2020,1955,1799,24,360,57,81,60,133,27,45,,502,98,,0
Michigan,2020,12,3/21/2020,2036,1895,32,394,67,80,64,101,18,44,11,536,112,22,18
Michigan,2020,13,3/28/2020,2432,2298,28,446,77,98,76,137,32,44,,584,120,239,229
Michigan,2020,14,4/4/2020,3117,2973,35,431,100,126,99,148,22,46,18,672,139,684,659
Michigan,2020,15,4/11/2020,3385,3230,23,394,87,143,66,134,32,37,,684,137,981,932
Michigan,2020,16,4/18/2020,3159,3008,28,392,85,118,50,128,28,35,16,621,116,981,932
Michigan,2020,17,4/25/2020,2806,2652,26,379,86,101,51,126,29,34,14,536,116,784,734
Michigan,2020,18,5/2/2020,2588,2421,29,345,76,131,33,129,19,39,12,532,111,596,558
Michigan,2020,19,5/9/2020,2241,2076,17,387,73,88,36,103,25,31,14,458,91,450,414
Michigan,2020,20,5/16/2020,2160,1993,15,350,76,96,37,86,21,32,10,477,133,290,262
Michigan,2020,21,5/23/2020,2012,1846,17,380,57,87,25,84,14,31,,465,101,231,206
Michigan,2020,22,5/30/2020,1962,1785,20,350,56,71,26,86,24,22,15,474,102,173,150
Michigan,2020,23,6/6/2020,2000,1800,28,393,53,75,22,92,18,36,,475,112,118,107
Michigan,2020,24,6/13/2020,1860,1697,28,374,67,75,17,84,16,38,17,457,103,77,66
Michigan,2020,25,6/20/2020,1885,1685,17,390,58,95,26,89,15,37,10,475,79,58,49
Michigan,2020,26,6/27/2020,1918,1719,18,393,59,80,27,95,22,28,13,446,110,49,37
Michigan,2020,27,7/4/2020,1984,1748,21,402,78,95,14,99,18,37,13,469,108,42,32
Michigan,2020,28,7/11/2020,1890,1716,25,406,54,76,19,79,15,37,,471,94,42,33
Michigan,2020,29,7/18/2020,1879,1694,22,415,50,83,15,115,19,34,25,459,88,36,26
Michigan,2020,30,7/25/2020,1891,1703,30,384,52,86,23,91,21,39,15,464,104,37,25
Michigan,2020,31,8/1/2020,1969,1781,31,403,53,78,17,104,21,42,17,480,94,57,48
Michigan,2020,32,8/8/2020,1868,1727,16,351,49,74,23,96,15,33,16,516,103,45,37
Michigan,2020,33,8/15/2020,2025,1844,25,416,48,74,26,94,31,29,18,533,113,63,53
Michigan,2020,34,8/22/2020,1926,1736,24,390,57,94,23,95,26,24,12,450,92,57,46
Michigan,2020,35,8/29/2020,1936,1764,26,424,55,84,23,95,17,40,12,439,98,61,53
Michigan,2020,36,9/5/2020,1959,1782,20,434,56,89,17,93,21,31,14,460,98,54,48
Michigan,2020,37,9/12/2020,1942,1777,19,390,74,76,22,89,11,37,13,472,117,41,31
Michigan,2020,38,9/19/2020,1905,1759,27,393,57,66,19,91,25,41,11,494,96,56,49
Michigan,2020,39,9/26/2020,2006,1831,23,404,44,102,21,103,17,26,13,490,99,52,47
Michigan,2020,40,10/3/2020,2033,1853,20,383,77,89,36,100,16,32,,497,109,78,70
Michigan,2020,41,10/10/2020,2146,1960,23,471,57,107,30,104,24,29,14,507,117,86,72
Michigan,2020,42,10/17/2020,2029,1862,12,389,49,85,27,103,31,38,12,483,109,126,116
Michigan,2020,43,10/24/2020,2207,2047,18,413,64,107,28,96,29,26,11,550,124,165,148
Michigan,2020,44,10/31/2020,2176,1998,20,451,55,83,22,84,18,37,12,500,119,170,151
Michigan,2020,45,11/7/2020,2347,2157,29,380,73,102,34,93,22,47,18,553,110,285,259
Michigan,2020,46,11/14/2020,2427,2241,25,428,58,98,29,103,30,34,14,524,93,395,358
Michigan,2020,47,11/21/2020,2623,2433,18,421,74,107,20,98,22,39,11,551,117,570,508
Michigan,2020,48,11/28/2020,2661,2507,27,411,69,106,30,90,15,35,13,524,130,664,597
Michigan,2020,49,12/5/2020,2805,2633,31,425,57,122,32,92,27,34,11,572,115,778,696
Michigan,2020,50,12/12/2020,2958,2780,17,420,84,113,45,109,24,42,11,569,124,829,763
Michigan,2020,51,12/19/2020,2766,2602,27,408,62,125,30,93,18,27,,556,129,783,705
Michigan,2020,52,12/26/2020,2633,2439,25,390,72,94,28,91,33,34,,505,135,648,582
Michigan,2020,53,1/2/2021,2554,2377,23,389,90,96,28,102,30,35,13,517,113,540,485
Michigan,2021,1,1/9/2021,2356,2203,18,388,69,108,26,88,23,44,10,502,111,488,437
Michigan,2021,2,1/16/2021,2397,2216,23,416,61,92,22,103,15,49,16,525,106,421,365
Michigan,2021,3,1/23/2021,2345,2186,23,407,74,93,24,96,25,47,11,524,118,360,319
Michigan,2021,4,1/30/2021,2191,2047,20,387,67,73,33,101,15,41,12,517,119,270,240
Michigan,2021,5,2/6/2021,2291,2111,18,391,73,88,26,113,19,53,10,540,118,271,224
Michigan,2021,6,2/13/2021,2080,1916,24,370,67,86,31,102,25,43,10,486,118,176,136
Michigan,2021,7,2/20/2021,2101,1968,25,396,97,88,21,99,21,32,12,499,112,148,127
Michigan,2021,8,2/27/2021,2065,1889,30,440,59,84,12,86,20,40,12,490,95,116,91
Michigan,2021,9,3/6/2021,2023,1857,25,389,59,83,29,111,26,33,12,466,114,98,78
Michigan,2021,10,3/13/2021,1867,1711,26,384,58,77,18,94,27,35,13,468,92,92,73
Michigan,2021,11,3/20/2021,2014,1840,31,379,58,68,20,103,17,25,14,524,126,117,90
Michigan,2021,12,3/27/2021,2093,1904,16,419,77,55,20,98,23,38,11,497,104,169,149
Michigan,2021,13,4/3/2021,2052,1885,23,398,66,85,19,96,24,30,11,468,100,238,204
Michigan,2021,14,4/10/2021,2335,2131,17,389,65,69,36,97,26,36,17,545,116,323,283
Michigan,2021,15,4/17/2021,2277,2115,10,407,57,73,22,95,22,47,12,492,120,422,373
Michigan,2021,16,4/24/2021,2407,2210,19,388,69,71,20,101,22,41,14,509,108,495,454
Michigan,2021,17,5/1/2021,2324,2145,20,380,68,73,19,86,21,34,12,475,113,439,398
Michigan,2021,18,5/8/2021,2252,2067,18,361,73,79,19,89,21,27,11,516,96,389,356
Michigan,2021,19,5/15/2021,2170,2025,26,385,64,69,24,99,15,39,,479,101,345,316
Michigan,2021,20,5/22/2021,2204,2019,28,412,67,85,24,94,32,39,11,480,115,273,242
Michigan,2021,21,5/29/2021,2003,1813,20,365,51,81,13,80,26,35,14,488,97,192,166
Michigan,2021,22,6/5/2021,1963,1793,23,384,58,92,16,94,16,38,11,457,94,155,133
Michigan,2021,23,6/12/2021,1981,1805,16,407,61,63,17,88,22,37,,493,111,110,96
Michigan,2021,24,6/19/2021,1889,1696,19,376,73,82,26,84,22,37,10,426,107,81,67
Michigan,2021,25,6/26/2021,1927,1739,21,383,59,77,25,96,29,39,11,480,95,54,42
Michigan,2021,26,7/3/2021,1873,1682,23,380,55,69,25,95,17,33,11,466,101,33,20
Michigan,2021,27,7/10/2021,1913,1687,33,378,60,66,23,86,28,37,,461,106,29,18
Michigan,2021,28,7/17/2021,1866,1710,24,407,61,70,28,93,20,28,17,482,94,19,13
Michigan,2021,29,7/24/2021,1895,1711,18,432,48,59,28,93,20,29,11,463,111,33,29
Michigan,2021,30,7/31/2021,1862,1708,21,421,50,75,12,84,24,24,11,492,106,35,25
Michigan,2021,31,8/7/2021,1937,1744,21,416,54,70,19,90,20,35,18,459,101,43,34
Michigan,2021,32,8/14/2021,1963,1752,19,398,58,69,16,89,24,29,17,488,93,87,70
Michigan,2021,33,8/21/2021,2049,1840,25,387,55,74,25,97,31,40,18,498,119,113,101
Michigan,2021,34,8/28/2021,1990,1796,16,428,68,66,23,99,26,17,12,479,99,107,97
Michigan,2021,35,9/4/2021,2093,1900,20,403,59,64,27,93,19,42,10,518,107,159,140
Michigan,2021,36,9/11/2021,2094,1898,43,392,60,56,27,103,27,32,16,477,110,166,152
Michigan,2021,37,9/18/2021,2172,1980,30,455,69,79,21,92,22,38,10,484,88,218,191
Michigan,2021,38,9/25/2021,2073,1900,30,385,58,75,20,90,25,32,16,480,82,211,191
Michigan,2021,39,10/2/2021,2239,2055,25,432,50,90,27,109,20,47,16,486,120,243,223
Michigan,2021,40,10/9/2021,2161,1987,30,394,63,70,29,89,20,32,18,499,110,244,230
Michigan,2021,41,10/16/2021,2194,2033,25,409,64,92,26,94,27,35,14,487,101,300,274
Michigan,2021,42,10/23/2021,2352,2172,27,420,68,67,35,101,32,40,10,508,102,356,329
Michigan,2021,43,10/30/2021,2356,2182,28,424,63,81,29,113,20,34,14,536,102,335,310
Michigan,2021,44,11/6/2021,2421,2240,16,425,69,88,28,123,28,45,15,516,148,344,303
Michigan,2021,45,11/13/2021,2591,2401,19,433,74,112,29,102,26,46,13,542,113,472,437
Michigan,2021,46,11/20/2021,2622,2435,26,420,71,90,41,114,27,33,15,593,104,522,454
Michigan,2021,47,11/27/2021,2849,2647,31,423,80,102,25,120,21,42,16,596,121,689,619
Michigan,2021,48,12/4/2021,2926,2727,24,420,84,107,32,112,28,47,17,567,115,770,716
Michigan,2021,49,12/11/2021,3114,2951,23,456,62,95,34,121,21,38,11,645,135,857,786
Michigan,2021,50,12/18/2021,2915,2743,25,370,80,108,35,115,30,39,15,587,124,825,756
Michigan,2021,51,12/25/2021,2858,2699,33,411,83,93,36,122,26,35,15,566,131,769,697
Michigan,2021,52,1/1/2022,2723,2552,28,405,67,92,35,102,22,43,11,548,137,658,586
Michigan,2022,1,1/8/2022,2792,2608,35,382,102,73,34,107,28,49,19,607,119,666,584
Michigan,2022,2,1/15/2022,2830,2649,27,415,77,92,36,104,28,39,31,618,126,673,584
Michigan,2022,3,1/22/2022,2794,2607,35,400,95,97,27,122,29,32,21,599,119,658,555
Michigan,2022,4,1/29/2022,2666,2494,22,378,79,97,25,102,29,54,19,595,133,575,473
Michigan,2022,5,2/5/2022,2513,2363,31,377,72,85,38,96,23,45,21,606,116,498,404
Michigan,2022,6,2/12/2022,2290,2134,18,382,65,90,36,113,21,55,28,512,126,363,283
Michigan,2022,7,2/19/2022,2285,2117,29,415,59,79,25,89,24,47,23,563,123,318,240
Michigan,2022,8,2/26/2022,2192,2021,23,417,67,91,19,98,25,39,29,510,103,236,165
Michigan,2022,9,3/5/2022,2086,1902,24,399,74,82,28,93,26,48,21,475,109,156,106
Michigan,2022,10,3/12/2022,2006,1860,12,434,76,75,20,79,26,40,30,455,97,126,93
Michigan,2022,11,3/19/2022,2029,1873,34,424,75,70,30,107,19,44,28,463,103,99,53
Michigan,2022,12,3/26/2022,1936,1780,25,385,62,79,19,95,19,40,16,483,126,78,48
Michigan,2022,13,4/2/2022,1881,1743,22,403,58,80,26,93,32,42,33,454,99,63,36
Michigan,2022,14,4/9/2022,1970,1822,27,399,58,90,22,103,29,43,18,489,117,59,31
Michigan,2022,15,4/16/2022,1878,1726,16,384,64,97,25,106,16,33,21,467,97,56,29
Michigan,2022,16,4/23/2022,1917,1778,19,388,53,90,25,96,29,29,17,511,129,52,30
Michigan,2022,17,4/30/2022,1948,1788,22,404,48,78,27,118,27,48,30,485,102,51,36
Michigan,2022,18,5/7/2022,2031,1877,29,392,78,84,26,92,21,41,36,547,97,76,45
Michigan,2022,19,5/14/2022,2042,1890,25,423,47,78,28,105,30,40,48,501,100,79,50
Michigan,2022,20,5/21/2022,1974,1811,32,403,59,70,24,98,33,37,30,495,107,71,43
Michigan,2022,21,5/28/2022,1906,1759,17,365,46,70,32,100,18,44,40,489,98,91,65
Michigan,2022,22,6/4/2022,1920,1758,18,334,56,76,20,104,26,44,38,503,99,75,52
Michigan,2022,23,6/11/2022,1927,1771,28,397,48,77,30,91,22,43,34,439,109,86,51
Michigan,2022,24,6/18/2022,1930,1790,22,414,65,76,20,94,14,35,37,482,112,85,60
Michigan,2022,25,6/25/2022,1936,1764,32,383,61,89,27,86,19,38,67,449,100,79,40
Michigan,2022,26,7/2/2022,1927,1759,23,393,54,60,21,82,16,31,64,493,100,67,44
Michigan,2022,27,7/9/2022,1878,1748,24,369,49,72,20,88,25,32,50,489,117,78,44
Michigan,2022,28,7/16/2022,1948,1787,18,406,52,66,24,89,31,28,50,485,109,77,52
Michigan,2022,29,7/23/2022,1824,1682,19,394,59,83,25,80,30,24,56,435,99,58,37
Michigan,2022,30,7/30/2022,1903,1755,25,390,55,73,28,95,24,33,65,452,101,74,46
Michigan,2022,31,8/6/2022,1914,1787,25,389,47,80,22,96,21,34,68,485,113,86,47
Michigan,2022,32,8/13/2022,1888,1779,23,398,61,53,13,85,33,35,76,468,116,88,47
Michigan,2022,33,8/20/2022,1883,1779,17,408,51,82,19,87,25,32,88,467,92,79,50
Michigan,2022,34,8/27/2022,1960,1854,25,401,74,71,20,76,19,32,94,498,99,86,54
Michigan,2022,35,9/3/2022,1952,1861,32,413,64,75,16,86,33,50,110,439,114,93,61
Michigan,2022,36,9/10/2022,1882,1794,25,380,52,68,22,83,18,41,105,447,115,96,61
Michigan,2022,37,9/17/2022,1669,1625,15,370,46,66,13,82,19,36,86,405,103,84,53
Michigan,2022,38,9/24/2022,1525,1525,19,345,49,71,12,81,22,21,79,371,109,74,53
Minnesota,2020,1,1/4/2020,1009,929,17,219,42,56,17,45,18,10,25,197,47,0,0
Minnesota,2020,2,1/11/2020,950,880,10,202,26,51,15,51,15,13,19,199,44,0,0
Minnesota,2020,3,1/18/2020,946,874,,198,27,51,10,62,12,,27,174,37,0,0
Minnesota,2020,4,1/25/2020,955,894,10,185,30,59,19,64,14,15,31,159,45,0,0
Minnesota,2020,5,2/1/2020,942,872,,214,19,60,13,40,14,14,14,174,43,0,0
Minnesota,2020,6,2/8/2020,919,847,,203,32,48,21,47,,,24,187,46,0,0
Minnesota,2020,7,2/15/2020,941,870,14,206,30,47,17,40,18,12,24,178,44,0,0
Minnesota,2020,8,2/22/2020,913,833,12,188,31,54,22,50,10,17,22,153,47,0,0
Minnesota,2020,9,2/29/2020,933,859,12,182,21,61,24,46,16,12,21,181,48,0,0
Minnesota,2020,10,3/7/2020,944,862,,187,29,44,29,46,14,19,29,162,45,0,0
Minnesota,2020,11,3/14/2020,882,794,,167,29,42,21,53,19,12,29,157,44,0,0
Minnesota,2020,12,3/21/2020,894,811,12,183,25,51,25,40,14,11,20,167,44,,
Minnesota,2020,13,3/28/2020,909,833,11,207,30,51,13,46,13,11,18,154,34,12,11
Minnesota,2020,14,4/4/2020,928,831,,178,38,59,15,40,11,,25,162,42,25,23
Minnesota,2020,15,4/11/2020,943,865,,202,30,46,20,41,15,14,28,155,38,45,45
Minnesota,2020,16,4/18/2020,955,884,,211,21,53,,47,16,,17,132,47,80,77
Minnesota,2020,17,4/25/2020,1016,934,,189,34,38,,27,11,10,18,167,43,148,138
Minnesota,2020,18,5/2/2020,1042,951,,167,30,60,13,46,13,,18,183,57,157,146
Minnesota,2020,19,5/9/2020,1057,974,10,202,35,58,,43,10,,25,145,39,169,154
Minnesota,2020,20,5/16/2020,1000,908,,186,36,51,,29,14,,16,157,48,142,135
Minnesota,2020,21,5/23/2020,1005,925,12,172,22,54,,43,,,19,154,30,166,157
Minnesota,2020,22,5/30/2020,1017,926,10,170,28,57,10,42,15,,21,159,40,156,142
Minnesota,2020,23,6/6/2020,1038,958,10,205,34,43,,33,16,,18,166,44,152,136
Minnesota,2020,24,6/13/2020,973,869,12,207,25,49,11,39,10,11,19,162,41,90,79
Minnesota,2020,25,6/20/2020,941,853,,209,24,53,,48,15,,14,150,45,68,54
Minnesota,2020,26,6/27/2020,840,756,,176,13,44,,43,13,15,23,130,42,54,37
Minnesota,2020,27,7/4/2020,876,781,,175,21,41,,36,,,23,156,39,44,34
Minnesota,2020,28,7/11/2020,865,763,,174,31,38,,39,12,11,,151,39,32,27
Minnesota,2020,29,7/18/2020,869,767,,189,14,43,,37,11,,18,156,43,38,32
Minnesota,2020,30,7/25/2020,878,787,,191,31,43,10,49,11,14,19,133,43,34,26
Minnesota,2020,31,8/1/2020,818,734,,171,36,40,,40,,10,21,136,33,36,29
Minnesota,2020,32,8/8/2020,897,799,,198,21,35,,35,,,15,175,34,46,41
Minnesota,2020,33,8/15/2020,888,803,,201,24,39,,27,15,12,12,173,35,51,41
Minnesota,2020,34,8/22/2020,907,815,,204,25,44,,46,13,,18,155,35,59,50
Minnesota,2020,35,8/29/2020,919,825,,192,42,51,,40,12,13,13,163,48,41,28
Minnesota,2020,36,9/5/2020,895,797,,190,26,53,,41,,,17,161,32,51,41
Minnesota,2020,37,9/12/2020,893,805,12,178,29,48,,37,,,13,163,44,57,46
Minnesota,2020,38,9/19/2020,957,858,,219,30,43,,35,10,,18,165,67,47,37
Minnesota,2020,39,9/26/2020,969,883,,201,29,55,,35,15,16,26,169,39,57,46
Minnesota,2020,40,10/3/2020,886,792,,185,18,33,,35,12,,22,141,42,73,59
Minnesota,2020,41,10/10/2020,1013,912,11,198,30,50,,48,,,21,168,37,85,72
Minnesota,2020,42,10/17/2020,953,878,11,203,34,46,,39,,12,18,146,31,100,89
Minnesota,2020,43,10/24/2020,1030,958,,207,29,42,,41,13,,31,172,35,124,111
Minnesota,2020,44,10/31/2020,1075,985,11,202,26,41,,48,10,,24,154,56,156,136
Minnesota,2020,45,11/7/2020,1145,1055,,183,25,64,,52,,,25,172,45,218,185
Minnesota,2020,46,11/14/2020,1196,1109,11,197,20,49,,32,15,15,30,175,50,282,250
Minnesota,2020,47,11/21/2020,1326,1243,12,188,28,44,10,36,21,11,26,195,52,407,370
Minnesota,2020,48,11/28/2020,1397,1313,16,209,31,58,10,42,18,15,20,179,43,444,392
Minnesota,2020,49,12/5/2020,1334,1252,,186,28,63,,45,10,,25,169,43,471,416
Minnesota,2020,50,12/12/2020,1382,1292,,183,27,66,,48,18,12,28,157,46,482,422
Minnesota,2020,51,12/19/2020,1269,1179,10,198,36,56,,29,10,,24,156,59,407,355
Minnesota,2020,52,12/26/2020,1203,1125,12,179,39,43,,40,16,,29,174,55,328,273
Minnesota,2020,53,1/2/2021,1194,1112,,196,28,55,,46,,,32,186,58,281,234
Minnesota,2021,1,1/9/2021,1140,1058,16,219,39,53,,40,,,15,149,51,239,192
Minnesota,2021,2,1/16/2021,1079,990,13,194,23,38,,38,13,13,22,167,44,215,174
Minnesota,2021,3,1/23/2021,948,873,,186,26,31,,35,12,15,20,159,53,133,102
Minnesota,2021,4,1/30/2021,924,844,,182,23,44,,41,13,,21,167,38,121,93
Minnesota,2021,5,2/6/2021,983,882,,210,23,35,,41,11,,26,156,55,99,74
Minnesota,2021,6,2/13/2021,914,833,,198,28,41,,25,,14,16,169,40,93,72
Minnesota,2021,7,2/20/2021,904,824,,196,25,46,,43,12,11,28,153,31,65,45
Minnesota,2021,8,2/27/2021,968,859,10,222,29,45,,41,16,11,21,167,51,48,29
Minnesota,2021,9,3/6/2021,931,839,,182,30,39,,44,,14,16,164,53,55,41
Minnesota,2021,10,3/13/2021,865,787,11,182,32,42,,34,18,,19,168,41,59,34
Minnesota,2021,11,3/20/2021,864,762,,181,26,38,,28,13,,26,133,42,40,30
Minnesota,2021,12,3/27/2021,862,780,,174,30,41,,37,12,13,19,151,48,36,22
Minnesota,2021,13,4/3/2021,871,785,,179,36,43,,29,13,,11,143,57,50,35
Minnesota,2021,14,4/10/2021,873,785,,189,34,41,,53,16,,21,124,38,61,46
Minnesota,2021,15,4/17/2021,893,800,,200,28,34,,36,14,,14,162,37,66,48
Minnesota,2021,16,4/24/2021,934,852,,223,27,36,,36,11,,19,165,58,65,54
Minnesota,2021,17,5/1/2021,967,882,11,194,36,47,,45,11,,20,162,37,79,66
Minnesota,2021,18,5/8/2021,896,804,,185,25,36,,41,11,11,15,149,56,63,56
Minnesota,2021,19,5/15/2021,938,863,11,214,39,36,,45,10,17,20,146,40,70,56
Minnesota,2021,20,5/22/2021,889,787,,204,27,41,,32,17,,21,138,41,48,35
Minnesota,2021,21,5/29/2021,876,782,,162,26,43,,47,20,,15,162,39,38,33
Minnesota,2021,22,6/5/2021,850,769,,177,30,26,,30,14,,19,164,49,31,25
Minnesota,2021,23,6/12/2021,917,795,14,181,38,30,,32,11,,28,171,40,35,29
Minnesota,2021,24,6/19/2021,851,753,10,203,27,31,,31,10,,16,130,33,27,15
Minnesota,2021,25,6/26/2021,890,804,,214,31,33,,38,14,13,19,134,49,20,16
Minnesota,2021,26,7/3/2021,888,797,,205,25,48,,47,14,,20,157,51,12,
Minnesota,2021,27,7/10/2021,892,784,10,211,38,46,,23,16,11,25,139,34,14,
Minnesota,2021,28,7/17/2021,873,782,,193,32,45,,40,15,11,19,156,41,14,
Minnesota,2021,29,7/24/2021,835,735,,180,21,42,,39,14,,26,143,35,10,
Minnesota,2021,30,7/31/2021,911,804,,186,20,40,,38,11,,33,165,40,20,16
Minnesota,2021,31,8/7/2021,905,806,,220,37,34,,35,11,,11,173,54,22,19
Minnesota,2021,32,8/14/2021,953,834,,199,21,42,,42,,,21,167,42,29,24
Minnesota,2021,33,8/21/2021,895,788,11,179,35,38,,44,15,,20,132,56,33,29
Minnesota,2021,34,8/28/2021,912,826,15,187,31,36,,34,15,10,21,160,51,54,46
Minnesota,2021,35,9/4/2021,971,880,12,205,26,37,,44,15,,28,162,47,62,54
Minnesota,2021,36,9/11/2021,982,872,,194,28,51,13,36,12,10,23,172,40,68,61
Minnesota,2021,37,9/18/2021,989,878,,217,21,37,10,33,13,11,25,164,41,88,74
Minnesota,2021,38,9/25/2021,988,887,10,206,29,43,,41,,,17,151,43,112,99
Minnesota,2021,39,10/2/2021,1055,959,10,206,26,31,10,46,19,10,31,188,37,116,99
Minnesota,2021,40,10/9/2021,1047,932,,190,32,43,,38,17,,22,178,41,140,121
Minnesota,2021,41,10/16/2021,1020,924,11,193,31,32,,33,13,,28,166,45,132,117
Minnesota,2021,42,10/23/2021,1071,967,,216,21,56,11,41,,11,21,176,49,124,112
Minnesota,2021,43,10/30/2021,1105,1003,13,194,34,56,10,61,12,15,17,153,43,145,129
Minnesota,2021,44,11/6/2021,1123,1030,,218,28,62,11,45,15,12,26,163,58,163,137
Minnesota,2021,45,11/13/2021,1179,1079,11,217,33,46,,46,13,12,26,202,53,170,152
Minnesota,2021,46,11/20/2021,1196,1111,11,202,44,59,11,49,16,12,19,177,45,227,202
Minnesota,2021,47,11/27/2021,1238,1137,16,205,37,55,,45,13,10,33,199,34,247,221
Minnesota,2021,48,12/4/2021,1258,1152,11,194,36,49,11,56,15,,42,193,52,269,242
Minnesota,2021,49,12/11/2021,1260,1172,,210,27,59,11,34,17,10,32,199,50,266,246
Minnesota,2021,50,12/18/2021,1278,1182,,229,43,63,,28,15,25,19,192,45,277,240
Minnesota,2021,51,12/25/2021,1193,1099,11,196,31,53,,54,,11,35,177,56,222,194
Minnesota,2021,52,1/1/2022,1236,1140,13,195,39,52,18,52,18,,25,217,55,237,202
Minnesota,2022,1,1/8/2022,1212,1108,,181,31,35,20,59,18,19,29,200,53,229,198
Minnesota,2022,2,1/15/2022,1231,1139,,238,39,61,,47,13,14,42,210,52,191,153
Minnesota,2022,3,1/22/2022,1195,1120,10,225,34,47,15,43,11,16,26,196,61,221,181
Minnesota,2022,4,1/29/2022,1229,1141,16,217,47,56,,47,13,16,25,186,54,236,201
Minnesota,2022,5,2/5/2022,1085,995,10,182,35,47,13,39,12,11,27,184,48,180,132
